FlorentineDrawings_IdentifierBB1961,BB_1961_number_letter,,,,BB_1938_number_letter,BB_1938_FirstPageNumber,BB_1938_LastPageNumber,BB_1903_number_letter,BB_1903_number_sortable,BB_1903_FirstPageNumber,BB_1903_LastPageNumber,1903_IIIF_URL,1903_200px_image,1903_500px_image
000108C-Berenson,108 C,,18,,108 C,8,,58,58,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000109A-Berenson,109 A,,18,,109 A,8,,59,59,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000109B-Berenson,109 B,,18,,109 B,8,,60,60,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110B-Berenson,110 B,,19,,110 B,9,,61,61,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110C-Berenson,110 C,,19,,110 C,9,,62,62,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110D-Berenson,110 D,,19,,110 D,9,,63,63,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110E-Berenson,110 E,,19,,110 E,9,,64,64,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110F-Berenson,110 F,,19,,110 F,9,,65,65,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110G-Berenson,110 G,,19,,110 G,9,,66,66,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110I-Berenson,110 I,,20,,110 I,9,,67,67,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110J-Berenson,110 J,,20,,110 J,9,,68,68,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000110K-Berenson,110 K,,20,,110 K,9,,69,69,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000113A-Berenson,113 A,,21,,113 A,10,,70,70,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000747A-Berenson,747,A,,,747 A,78,,71,71,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000113B-Berenson,113 B,,21,,113 B,10,,72,72,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000113C-Berenson,113 C,,21,,,,,73,73,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000115A-Berenson,115 A,,22,,115 A,10,,74,74,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000115B-Berenson,115 B,,22,,115 B,10,,75,75,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000117A-Berenson,117 A,,22,,117 A,11,,76,76,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000117B-Berenson,117 B,,22,,117 B,11,,77,77,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000118A-Berenson,118 A,,23,,118 A,11,,78,78,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000118B-Berenson,118 B,,23,,118 B,11,,79,79,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000118C-Berenson,118 C,,23,,118 C,11,,80,80,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000118D-Berenson,118 D,,23,,118 D,11,,81,81,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000119A-Berenson,119 A,,23,,119 A,11,,82,82,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000119B-Berenson,119 B,,23,,119 B,11,,83,83,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000119C-Berenson,119 C,,23,,119 C,11,,84,84,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
000119D-Berenson,119 D,,24,,119 D,11,,85,85,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
0000086-Berenson,86,,,,86,6,,86,86,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
0000087-Berenson,87,,,,87,7,,87,87,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
0000088-Berenson,88,,,,88,7,,88,88,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
0000089-Berenson,89,,15,,89,7,,89,89,5,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$18i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__018.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__018.jpg
0000090-Berenson,90,,15,,90,7,,90,90,6,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$23i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__023.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__023.jpg
