FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0000563-Berenson,XLI,41,041,563,,278,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$278i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_041.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_041.jpg
0000564-Berenson,XLII,42,042,564,,284,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$284i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_042.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_042.jpg
0000566-Berenson,XLIII,43,043,566,,288,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$288i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_043.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_043.jpg
0000562-Berenson,XLIV,44,044,562,,298,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$298i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_044.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_044.jpg
0000578-Berenson,XLV,45,045,578,,302,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$302i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_045.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_045.jpg
0000577-Berenson,XLVI,46,046,577,,308,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$308i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_046.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_046.jpg
2472fol32-Berenson,XLVII,47,047,2472,,312,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$312i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_047.jpg
0002469-Berenson,XLVIII,48,048,2469,,322,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$322i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_048.jpg
000591A-Berenson,XLIX,49,049,53,,326,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$326i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_049.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_049.jpg
001362A-Berenson,L,50,050,54,,332,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$332i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_050.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_050.jpg
001303A-Berenson,LI,51,051,45,,336,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$336i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_051.jpg
001271B-Berenson,LII,52,052,44,,346,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$346i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_052.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_052.jpg
0002508-Berenson,LIII,53,053,2508,,350,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$350i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_053.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_053.jpg
0001285-Berenson,LIV,54,054,1285,,356,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$356i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_054.jpg
