0000174-Berenson,"Angelico, Fra",174,174,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
0000175-Berenson,"Angelico, Fra",175,175,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000175A-Berenson,"Angelico, Fra",175 A,175 A,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000176B-Berenson,"Angelico, Fra",176 B,176 B,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000177C-Berenson,"Angelico, Fra",177 C,177 B,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000177B-Berenson,"Angelico, Fra",177 B,177 A,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
00161A2-Berenson,"Angelico, Fra",161 A-2,161 A,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
0000162-Berenson,"Angelico, Fra",162,162,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
0000163-Berenson,"Angelico, Fra",163,163,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000164C-Berenson,"Angelico, Fra",164 C,164 C,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
0000176-Berenson,"Angelico, Fra",176,176,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000176A-Berenson,"Angelico, Fra",176 A,176 A,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
000164D-Berenson,"Angelico, Fra",164 D,175 D,"Angelico, Fra",http://vocab.getty.edu/ulan/500029319
0000186-Berenson,Bachiacca,186,186,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000187-Berenson,Bachiacca,187,187,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000188-Berenson,Bachiacca,188,188,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000180-Berenson,Bachiacca,180,180,Bachiacca,http://vocab.getty.edu/ulan/500021332
000180A-Berenson,Bachiacca,180 A,180 A,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000181-Berenson,Bachiacca,181,181,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000182-Berenson,Bachiacca,182,182,Bachiacca,http://vocab.getty.edu/ulan/500021332
000182A-Berenson,Bachiacca,182 A,182 A,Bachiacca,http://vocab.getty.edu/ulan/500021332
000183A-Berenson,Bachiacca,183 A,183 A,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000183-Berenson,Bachiacca,183,183,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000184-Berenson,Bachiacca,184,184,Bachiacca,http://vocab.getty.edu/ulan/500021332
0000185-Berenson,Bachiacca,185,185,Bachiacca,http://vocab.getty.edu/ulan/500021332
000203F-Berenson,"Baldovinetti, Alesso",203 F,203 F,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203E-Berenson,"Baldovinetti, Alesso",203 E,203 E,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
00203E1-Berenson,"Baldovinetti, Alesso",203 E-1,203 H,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196E-Berenson,"Baldovinetti, Alesso",196 E,196 E,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196F-Berenson,"Baldovinetti, Alesso",196 F,196 F,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203D-Berenson,"Baldovinetti, Alesso",203 D,203 D,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000190-Berenson,"Baldovinetti, Alesso",190,190,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000191-Berenson,"Baldovinetti, Alesso",191,191,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000192-Berenson,"Baldovinetti, Alesso",192,192,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000193-Berenson,"Baldovinetti, Alesso",193,193,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000194-Berenson,"Baldovinetti, Alesso",194,194,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000195-Berenson,"Baldovinetti, Alesso",195,195,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000196-Berenson,"Baldovinetti, Alesso",196,196,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196A-Berenson,"Baldovinetti, Alesso",196 A,196 A,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196B-Berenson,"Baldovinetti, Alesso",196 B,196 B,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196G-Berenson,"Baldovinetti, Alesso",196 G,196 G,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000197-Berenson,"Baldovinetti, Alesso",197,197,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000200-Berenson,"Baldovinetti, Alesso",200,200,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000200A-Berenson,"Baldovinetti, Alesso",200 A,200 A,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000200B-Berenson,"Baldovinetti, Alesso",200 B,200 B,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000201-Berenson,"Baldovinetti, Alesso",201,201,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000203-Berenson,"Baldovinetti, Alesso",203,203,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203A-Berenson,"Baldovinetti, Alesso",203 A,203 A,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203B-Berenson,"Baldovinetti, Alesso",203 B,203 B,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196C-Berenson,"Baldovinetti, Alesso",196 C,196 C,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000196D-Berenson,"Baldovinetti, Alesso",196 D,196 D,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203C-Berenson,"Baldovinetti, Alesso",203 C,203 C,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
000203G-Berenson,"Baldovinetti, Alesso",203 G,203 G,"Baldovinetti, Alesso",http://vocab.getty.edu/ulan/500115745
0000510-Berenson,"Bartolommeo, Fra",510,510,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000511-Berenson,"Bartolommeo, Fra",511,511,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000511B-Berenson,"Bartolommeo, Fra",511 B,511 B,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000219C-Berenson,"Bartolommeo, Fra",219 C,219 C,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000203M-Berenson,"Bartolommeo, Fra",203 M,203 M,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000203N-Berenson,"Bartolommeo, Fra",203 N,203 N,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000214-Berenson,"Bartolommeo, Fra",214,214,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000215-Berenson,"Bartolommeo, Fra",215,215,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000216-Berenson,"Bartolommeo, Fra",216,216,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000217-Berenson,"Bartolommeo, Fra",217,217,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000219-Berenson,"Bartolommeo, Fra",219,219,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000219E-Berenson,"Bartolommeo, Fra",219 E,219 E,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000393-Berenson,"Bartolommeo, Fra",393,393,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000395-Berenson,"Bartolommeo, Fra",395,395,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000396-Berenson,"Bartolommeo, Fra",396,396,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000397-Berenson,"Bartolommeo, Fra",397,397,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000398-Berenson,"Bartolommeo, Fra",398,398,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
000463B-Berenson,"Bartolommeo, Fra",463 B,463 B,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
0000464-Berenson,"Bartolommeo, Fra",464,464,"Bartolommeo, Fra",http://vocab.getty.edu/ulan/500115575
