0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
0000203-Berenson1961,"Baldovinetti, Alesso",203,203,"Baldovinetti, Alesso",203,"Baldovinetti, Alesso"
000041B-Berenson1961,Bartolomeo di Giovanni,41 B,Alunno di Domenico,2391,"Rosselli, Cosimo"
0000021-Berenson1961,Bartolomeo di Giovanni,21,Alunno di Domenico,21,Alunno di Domenico
0000041-Berenson1961,Bartolomeo di Giovanni,41,Alunno di Domenico,41,Alunno di Domenico
0000022-Berenson1961,Bartolomeo di Giovanni,22,Alunno di Domenico,22,Alunno di Domenico
0000024-Berenson1961,Bartolomeo di Giovanni,24,Alunno di Domenico,24,Alunno di Domenico
0000025-Berenson1961,Bartolomeo di Giovanni,25,Alunno di Domenico,25,Alunno di Domenico
0000026-Berenson1961,Bartolomeo di Giovanni,26,Alunno di Domenico,26,Alunno di Domenico
0000027-Berenson1961,Bartolomeo di Giovanni,27,Alunno di Domenico,27,Alunno di Domenico
0000028-Berenson1961,Bartolomeo di Giovanni,28,Alunno di Domenico,28,Alunno di Domenico
0000029-Berenson1961,Bartolomeo di Giovanni,29,Alunno di Domenico,29,Alunno di Domenico
0000030-Berenson1961,Bartolomeo di Giovanni,30,Alunno di Domenico,30,Alunno di Domenico
0000031-Berenson1961,Bartolomeo di Giovanni,31,Alunno di Domenico,31,Alunno di Domenico
0000032-Berenson1961,Bartolomeo di Giovanni,32,Alunno di Domenico,32,Alunno di Domenico
0000033-Berenson1961,Bartolomeo di Giovanni,33,Alunno di Domenico,33,Alunno di Domenico
0000034-Berenson1961,Bartolomeo di Giovanni,34,Alunno di Domenico,34,Alunno di Domenico
0000035-Berenson1961,Bartolomeo di Giovanni,35,Alunno di Domenico,35,Alunno di Domenico
0000036-Berenson1961,Bartolomeo di Giovanni,36,Alunno di Domenico,36,Alunno di Domenico
000036A-Berenson1961,Bartolomeo di Giovanni,36 A,Alunno di Domenico,23,Alunno di Domenico
0000037-Berenson1961,Bartolomeo di Giovanni,37,Alunno di Domenico,37,Alunno di Domenico
000037A-Berenson1961,Bartolomeo di Giovanni,37 A,Alunno di Domenico,1857,Piero di Cosimo
000037B-Berenson1961,Bartolomeo di Giovanni,37 A,Alunno di Domenico,971,Francesco Granacci
0000039-Berenson1961,Bartolomeo di Giovanni,39,Alunno di Domenico,39,Alunno di Domenico
000040A-Berenson1961,Bartolomeo di Giovanni,40 A,Alunno di Domenico,851,David Ghirlandaio
0000510-Berenson1961,"Bartolommeo, Fra",510,510,"Bartolommeo, Fra",510,"Bartolommeo, Fra"
0000511-Berenson1961,"Bartolommeo, Fra",511,511,"Bartolommeo, Fra",511,"Bartolommeo, Fra"
000203M-Berenson1961,"Bartolommeo, Fra",203 M,203 M,"Bartolommeo, Fra",494,"Bartolommeo, Fra"
000203N-Berenson1961,"Bartolommeo, Fra",203 N,203 N,"Bartolommeo, Fra",494,"Bartolommeo, Fra"
0000214-Berenson1961,"Bartolommeo, Fra",214,214,"Bartolommeo, Fra",214,"Bartolommeo, Fra"
0000215-Berenson1961,"Bartolommeo, Fra",215,215,"Bartolommeo, Fra",215,"Bartolommeo, Fra"
0000216-Berenson1961,"Bartolommeo, Fra",216,216,"Bartolommeo, Fra",1771,"Paolino, Fra"
0000217-Berenson1961,"Bartolommeo, Fra",217,217,"Bartolommeo, Fra",217,"Bartolommeo, Fra"
0000219-Berenson1961,"Bartolommeo, Fra",219,219,"Bartolommeo, Fra",219,"Bartolommeo, Fra"
0000393-Berenson1961,"Bartolommeo, Fra",393,393,"Bartolommeo, Fra",393,"Bartolommeo, Fra"
0000395-Berenson1961,"Bartolommeo, Fra",395,395,"Bartolommeo, Fra",395,"Bartolommeo, Fra"
0000396-Berenson1961,"Bartolommeo, Fra",396,396,"Bartolommeo, Fra",396,"Bartolommeo, Fra"
0000397-Berenson1961,"Bartolommeo, Fra",397,397,"Bartolommeo, Fra",397,"Bartolommeo, Fra"
0000398-Berenson1961,"Bartolommeo, Fra",398,398,"Bartolommeo, Fra",398,"Bartolommeo, Fra"
0000464-Berenson1961,"Bartolommeo, Fra",464,464,"Bartolommeo, Fra",464,"Bartolommeo, Fra"
0000465-Berenson1961,"Bartolommeo, Fra",465,465,"Bartolommeo, Fra",465,"Bartolommeo, Fra"
0000466-Berenson1961,"Bartolommeo, Fra",466,466,"Bartolommeo, Fra",466,"Bartolommeo, Fra"
0000467-Berenson1961,"Bartolommeo, Fra",467,467,"Bartolommeo, Fra",467,"Bartolommeo, Fra"
0000468-Berenson1961,"Bartolommeo, Fra",468,468,"Bartolommeo, Fra",468,"Bartolommeo, Fra"
0000469-Berenson1961,"Bartolommeo, Fra",469,469,"Bartolommeo, Fra",469,"Bartolommeo, Fra"
0000470-Berenson1961,"Bartolommeo, Fra",470,470,"Bartolommeo, Fra",470,"Bartolommeo, Fra"
0000471-Berenson1961,"Bartolommeo, Fra",471,471,"Bartolommeo, Fra",471,"Bartolommeo, Fra"
0000472-Berenson1961,"Bartolommeo, Fra",472,472,"Bartolommeo, Fra",472,"Bartolommeo, Fra"
0000473-Berenson1961,"Bartolommeo, Fra",473,473,"Bartolommeo, Fra",473,"Bartolommeo, Fra"
0000474-Berenson1961,"Bartolommeo, Fra",474,474,"Bartolommeo, Fra",474,"Bartolommeo, Fra"
0000475-Berenson1961,"Bartolommeo, Fra",475,475,"Bartolommeo, Fra",475,"Bartolommeo, Fra"
0000476-Berenson1961,"Bartolommeo, Fra",476,476,"Bartolommeo, Fra",476,"Bartolommeo, Fra"
0000477-Berenson1961,"Bartolommeo, Fra",477,477,"Bartolommeo, Fra",477,"Bartolommeo, Fra"
0000478-Berenson1961,"Bartolommeo, Fra",478,478,"Bartolommeo, Fra",478,"Bartolommeo, Fra"
0000480-Berenson1961,"Bartolommeo, Fra",480,480,"Bartolommeo, Fra",480,"Bartolommeo, Fra"
0000481-Berenson1961,"Bartolommeo, Fra",481,481,"Bartolommeo, Fra",481,"Bartolommeo, Fra"
0000482-Berenson1961,"Bartolommeo, Fra",482,482,"Bartolommeo, Fra",482,"Bartolommeo, Fra"
0000483-Berenson1961,"Bartolommeo, Fra",483,483,"Bartolommeo, Fra",483,"Bartolommeo, Fra"
0000484-Berenson1961,"Bartolommeo, Fra",484,484,"Bartolommeo, Fra",484,"Bartolommeo, Fra"
0000485-Berenson1961,"Bartolommeo, Fra",485,485,"Bartolommeo, Fra",485,"Bartolommeo, Fra"
0000487-Berenson1961,"Bartolommeo, Fra",487,487,"Bartolommeo, Fra",487,"Bartolommeo, Fra"
0000488-Berenson1961,"Bartolommeo, Fra",488,488,"Bartolommeo, Fra",488,"Bartolommeo, Fra"
0000489-Berenson1961,"Bartolommeo, Fra",489,489,"Bartolommeo, Fra",489,"Bartolommeo, Fra"
0000490-Berenson1961,"Bartolommeo, Fra",490,490,"Bartolommeo, Fra",490,"Bartolommeo, Fra"
0000491-Berenson1961,"Bartolommeo, Fra",491,491,"Bartolommeo, Fra",491,"Bartolommeo, Fra"
0000492-Berenson1961,"Bartolommeo, Fra",492,492,"Bartolommeo, Fra",492,"Bartolommeo, Fra"
0000493-Berenson1961,"Bartolommeo, Fra",493,493,"Bartolommeo, Fra",493,"Bartolommeo, Fra"
0000204-Berenson1961,"Bartolommeo, Fra",204,204,"Bartolommeo, Fra",204,"Bartolommeo, Fra"
0000205-Berenson1961,"Bartolommeo, Fra",205,205,"Bartolommeo, Fra",205,"Bartolommeo, Fra"
0000206-Berenson1961,"Bartolommeo, Fra",206,206,"Bartolommeo, Fra",206,"Bartolommeo, Fra"
0000207-Berenson1961,"Bartolommeo, Fra",207,207,"Bartolommeo, Fra",207,"Bartolommeo, Fra"
0000208-Berenson1961,"Bartolommeo, Fra",208,208,"Bartolommeo, Fra",208,"Bartolommeo, Fra"
0000209-Berenson1961,"Bartolommeo, Fra",209,209,"Bartolommeo, Fra",209,"Bartolommeo, Fra"
0000210-Berenson1961,"Bartolommeo, Fra",210,210,"Bartolommeo, Fra",210,"Bartolommeo, Fra"
0000211-Berenson1961,"Bartolommeo, Fra",211,211,"Bartolommeo, Fra",211,"Bartolommeo, Fra"
0000220-Berenson1961,"Bartolommeo, Fra",220,220,"Bartolommeo, Fra",220,"Bartolommeo, Fra"
0000221-Berenson1961,"Bartolommeo, Fra",221,221,"Bartolommeo, Fra",221,"Bartolommeo, Fra"
0000390-Berenson1961,"Bartolommeo, Fra",390,390,"Bartolommeo, Fra",390,"Bartolommeo, Fra"
0000391-Berenson1961,"Bartolommeo, Fra",391,391,"Bartolommeo, Fra",391,"Bartolommeo, Fra"
0000392-Berenson1961,"Bartolommeo, Fra",392,392,"Bartolommeo, Fra",392,"Bartolommeo, Fra"
0000444-Berenson1961,"Bartolommeo, Fra",444,444,"Bartolommeo, Fra",444,"Bartolommeo, Fra"
0000445-Berenson1961,"Bartolommeo, Fra",445,445,"Bartolommeo, Fra",445,"Bartolommeo, Fra"
0000446-Berenson1961,"Bartolommeo, Fra",446,446,"Bartolommeo, Fra",446,"Bartolommeo, Fra"
0000447-Berenson1961,"Bartolommeo, Fra",447,447,"Bartolommeo, Fra",447,"Bartolommeo, Fra"
0000448-Berenson1961,"Bartolommeo, Fra",448,448,"Bartolommeo, Fra",448,"Bartolommeo, Fra"
0000449-Berenson1961,"Bartolommeo, Fra",449,449,"Bartolommeo, Fra",449,"Bartolommeo, Fra"
0000450-Berenson1961,"Bartolommeo, Fra",450,450,"Bartolommeo, Fra",450,"Bartolommeo, Fra"
0000451-Berenson1961,"Bartolommeo, Fra",451,451,"Bartolommeo, Fra",451,"Bartolommeo, Fra"
0000452-Berenson1961,"Bartolommeo, Fra",452,452,"Bartolommeo, Fra",452,"Bartolommeo, Fra"
0000453-Berenson1961,"Bartolommeo, Fra",453,453,"Bartolommeo, Fra",453,"Bartolommeo, Fra"
0000454-Berenson1961,"Bartolommeo, Fra",454,454,"Bartolommeo, Fra",454,"Bartolommeo, Fra"
0000455-Berenson1961,"Bartolommeo, Fra",455,455,"Bartolommeo, Fra",455,"Bartolommeo, Fra"
0000456-Berenson1961,"Bartolommeo, Fra",456,456,"Bartolommeo, Fra",456,"Bartolommeo, Fra"
0000457-Berenson1961,"Bartolommeo, Fra",457,457,"Bartolommeo, Fra",457,"Bartolommeo, Fra"
0000458-Berenson1961,"Bartolommeo, Fra",458,458,"Bartolommeo, Fra",458,"Bartolommeo, Fra"
000390B-Berenson1961,"Bartolommeo, Fra",390 B,390 B,"Bartolommeo, Fra",513,"Bartolommeo, Fra"
0000212-Berenson1961,"Bartolommeo, Fra",212,212,"Bartolommeo, Fra",212,"Bartolommeo, Fra"
000221B-Berenson1961,"Bartolommeo, Fra",221 B,221 B,"Bartolommeo, Fra",867,"Ghirlandaio, Domenico"
